GEOID,totalpopulation_1970,white_1970,black_1970,poverty_1970,pctpoverty_1970,pctwhite_1970,pctblack_1970
39049000110,4685,4620,4,130,25.6916996,98.61259338,0.085378869
39049000120,4162.46,4115.466,0,78.98975,25.15923242,98.87100417,0
39049000210,3779.05,3636.462,0,104.3782,27.79155812,96.22688242,0
39049000220,5426.49,5344.072,5,112.632,27.50707263,98.48119134,0.092140592
39049000310,4701.492,4617.33,2.093356,36.01867,19.73967547,98.20988741,0.044525355
39049000320,3695,3671,5,28,32.18390805,99.35047361,0.135317997
39049000330,2884.835,2831.772,15.91877,68.98134,34.21052005,98.1606227,0.551808682
39049000410,3429.742,3261.5,0,111.5512,26.12420091,95.09461645,0
39049000420,4171,4045,0,102,19.61538462,96.97914169,0
39049000500,5108.802,4932.69,20.60524,168.6893,23.22403988,96.55277304,0.403328217
39049000600,5087.796,4846.277,14.32863,208.7852,31.37033472,95.25297398,0.281627447
39049000710,5199,4980,81,129,33.16195373,95.78765147,1.557991922
39049000720,4203,1845,2281,87,32.22222222,43.89721627,54.27075898
39049000730,6113,683,5060,157,39.25,11.17291019,82.77441518
39049000810,3618,3475,44,49,28,96.04754008,1.216141515
39049000820,4205.538,4175.656,1.690016,88.86246,26.27737446,99.28946071,0.040185489
39049000910,5092,3742,1307,174,44.50127877,73.48782404,25.66771406
39049000920,3180.497,2984.897,143.7062,123.747,38.74999961,93.85001778,4.518356722
39049001000,6454.16,6197.254,24.19406,857.3959,46.26008066,96.01952849,0.374859935
39049001110,3009.661,2721.533,44.06613,512.9743,40.64482723,90.42656299,1.46415593
39049001121,11055.29,10632.01,163.6476,278.9783,40.29234878,96.17124472,1.480265104
39049001122,3047.687,2930.998,45.11384,76.90782,40.29234916,96.17122756,1.48026487
39049001200,4457.84,4290.746,35.80594,995.6042,51.75801307,96.25168243,0.803212767
39049001300,6300,5838,148,1556,52.97923051,92.66666667,2.349206349
39049001400,3749.127,958.4805,2620.428,140.3591,41.61804377,25.56543163,69.89435141
39049001500,4255.873,398.5194,3679.571,235.6409,55.21824998,9.36398713,86.45866547
39049001600,2978.721,1124.242,1749.348,155.3292,36.44444194,37.74244046,58.72815883
39049001700,3620,3078,379,519,45.09122502,85.02762431,10.46961326
39049001810,3959.792,3637.858,96.58029,1299.444,52.11266928,91.8699265,2.439024322
39049001820,4577.429,4200.926,141.2716,484.2691,39.26768355,91.77479323,3.086265238
39049001901,1918.859,1828.659,46.0377,101.5053,20.04079421,95.29928984,2.399222663
39049001902,4772.481,4547.382,111.8793,247.1461,20.09027149,95.28339662,2.344258678
39049002000,5596.686,4750.49,662.7285,307.0267,44.56521487,84.88040959,11.8414451
39049002100,2310.886,2227.584,0,210.7042,38.39285291,96.39523542,0
39049002200,3286.279,2425.758,773.6523,407.6708,58.00732763,73.81473089,23.54189343
39049002300,3719.937,344.5856,3149.731,162.6832,40.32088528,9.26321064,84.67162213
39049002510,5343,1385,3825,163,35.43478261,25.9217668,71.58899495
39049002520,4702,602,3827,95,13.64942529,12.80306253,81.39089749
39049002600,5947.243,4109.516,1639.324,101.7363,20.71109597,69.09951384,27.56443616
39049002710,2954,2845,26,166,23.68045649,96.31008802,0.880162492
39049002730,2653,2546,11,41,11.5819209,95.96683,0.414624953
39049002740,3846,3623,79,114,26.02739726,94.20176807,2.054082163
39049002750,2924,2820,0,23,14.02439024,96.44322845,0
39049002760,4173,3954,6,127,18.59443631,94.75197699,0.143781452
39049002770,2550.407,2295.215,85.13491,60.71954,19.60947398,89.99406761,3.338091136
39049002780,2935,2908,0,43,25.90361446,99.08006814,0
39049002800,5219.024,380.9274,4623.022,632.9274,54.15968414,7.298824455,88.58020197
39049002900,2700.039,55.48704,2461.247,282.3894,63.61607429,2.055045872,91.1559796
39049003000,6687.025,3608.615,2767.448,955.741,48.89936383,53.96443112,41.38533952
39049003200,2376.74,2228.234,32.29946,171.6858,14.07310258,93.7516935,1.35898163
39049003600,3774.975,355.3853,3173.552,476.259,46.44190995,9.414242478,84.06815939
39049003700,7607,1286,6005,526,43.00899428,16.90548179,78.94044959
39049003800,5055.534,1303.312,3585.801,381.2212,36.11365886,25.77990772,70.92823429
39049004000,4054.806,3365.898,443.1042,909.5724,42.6228866,83.01008729,10.9278767
39049004200,3284.536,2794.221,365.3961,292.0025,51.7826375,85.07201626,11.1247403
39049004300,5449.214,4552.962,713.1619,235.3387,41.21579021,83.55263713,13.08742692
39049004500,8736.452,8077.093,441.9624,283.011,37.9628046,92.45278289,5.058831663
39049004610,4563,4488,0,80,23.59882006,98.35634451,0
39049004620,3361,2986,211,113,38.17567568,88.84260637,6.277893484
39049004700,7267,3776,3170,267,35.83892617,51.96091922,43.62185221
39049004810,3427.508,3395.247,0,65.50001,24.63235186,99.05876223,0
39049004820,3428,2889,485,63,32.14285714,84.27654609,14.14819137
39049004900,8254.505,6926.611,1139.422,304.5234,36.12138129,83.91309957,13.80363813
39049005000,6570.761,5851.949,529.046,406.3834,49.1630924,89.06044521,8.051517929
39049005100,5211.878,3881.194,1134.314,160.3338,29.86386402,74.4682435,21.76401673
39049005200,3545.967,3176.913,206.5263,290.0347,34.28874383,89.59228893,5.82425894
39049005300,7734.834,1662.276,5840.598,565.7261,50.92410795,21.49077795,75.51032123
39049005410,3760.676,477.779,3084.906,166.1396,44.17608896,12.70460417,82.03062428
39049005420,4452.933,485.6303,3814.676,120.912,41.49658416,10.90585239,85.66659323
39049005500,7770.231,3740.27,3730.419,173.0067,27.70777343,48.13589197,48.00911324
39049005610,3666,2732,798,106,36.93379791,74.52264048,21.76759411
39049005620,3693,3240,182,141,35.69620253,87.73354996,4.928242621
39049005700,5787.297,5591.145,17.36953,303.3755,26.28498377,96.6106457,0.300131996
39049005810,4424.577,4285.315,1.770419,168.9664,32.15953693,96.85253528,0.040013294
39049005820,2752.876,2581.557,32.35218,90.43904,36.82635238,93.77672659,1.175213849
39049005900,3693,3601,18,95,33.80782918,97.50880043,0.487408611
39049006000,3631,2652,917,127,51.20967742,73.03773065,25.25475076
39049006100,5047.321,4240.685,552.4012,184.1338,44.77273921,84.01853181,10.9444436
39049006220,475.2388,462.076,0,4.591679,36.14456475,97.23027665,0
39049006230,1546.626,1503.788,0,14.94324,36.14456433,97.2302289,0
