GEOID,totalpopulation_2000,popdensity_2000,proportion25to34_2000,aged25to34_2000
39049000110,3498,4618.58195,0.168953688,591
39049000120,3147,2840.858262,0.12392755,390
39049000210,3064,4649.839648,0.174608355,535
39049000220,3860,5139.242841,0.136787565,528
39049000310,3325,4645.644454,0.172330827,573
39049000320,2465,5004.625299,0.142799189,352
39049000330,2463,8015.677214,0.155095412,382
39049000410,2475,8277.029901,0.334141414,827
39049000420,3183,5628.940123,0.229343387,730
39049000500,3872.309,7966.67708,0.296775825,1149.2077
39049000600,3747.691,9908.802557,0.305999694,1146.7923
39049000710,3377,6677.729151,0.153094463,517
39049000720,2751,3258.466337,0.129407488,356
39049000730,3909,9707.65891,0.114863136,449
39049000810,2812,7324.694469,0.156116643,439
39049000820,3481,6229.83899,0.152829647,532
39049000910,4077,8233.268625,0.138091734,563
39049000920,2577,7289.700856,0.13193636,340
39049001000,5404,15659.1041,0.208734271,1128
39049001110,3362,16285.72914,0.159726353,537
39049001121,7931.477,22789.62391,0.079758842,632.60542
39049001122,2186.523,945.2481003,0.079758859,174.39458
39049001200,4372,16870.49784,0.115736505,506
39049001300,5672,21476.33128,0.112306065,637
39049001400,1797,2509.335959,0.117974402,212
39049001500,2223,4387.822958,0.138101664,307
39049001600,2077,10974.25676,0.155031295,322
39049001700,2733,13794.06296,0.171606293,469
39049001810,3838,25164.29322,0.208441897,800
39049001820,2450,7261.078016,0.370612245,908
39049001901,1412,2187.679608,0.410460552,579.5703
39049001902,3526,8445.649493,0.396544186,1398.2148
39049002000,3137,11680.5505,0.372967804,1170
39049002100,1487,7384.585005,0.423671822,630
39049002200,1404,5204.448771,0.289173789,406
39049002300,1806,1817.837052,0.120708749,218
39049002510,2978,1562.59431,0.109133647,325
39049002520,3170,5227.332,0.120820189,383
39049002600,4261.146,3080.253426,0.128335804,546.8576
39049002710,4242,12931.52736,0.190947666,810
39049002730,2269,6200.059263,0.194358748,441
39049002740,2308,4242.51298,0.098353553,227
39049002750,2707,7251.274221,0.154045068,417
39049002760,3273,6543.064449,0.183623587,601
39049002770,2071,5734.019011,0.148237566,307
39049002780,2439,3686.014303,0.084460845,206
39049002800,3350,7602.620119,0.133731343,448
39049002900,2949,9231.889597,0.100712106,297
39049003000,2179,1374.412191,0.215695273,470
39049003200,1824,3115.70517,0.285087719,520
39049003600,1726,6480.79934,0.10428737,180
39049003700,4151,5141.536481,0.144302578,599
39049003800,2093,7447.883089,0.185379838,388
39049004000,2195,2527.973752,0.199088838,437
39049004200,1432,3173.472601,0.138268156,198
39049004300,4229,2162.514729,0.271458974,1148
39049004500,5631,5752.956581,0.162315752,914
39049004610,3543,6166.459905,0.147050522,521
39049004620,2960,10362.73874,0.163513514,484
39049004700,5512,10754.90197,0.15511611,855
39049004810,2899,9504.188206,0.156605726,454
39049004820,2795,8554.583008,0.159570662,446
39049004900,6074,6460.775228,0.149489628,908
39049005000,6628,8072.463366,0.156608328,1038
39049005100,2224,1441.160676,0.12544964,279
39049005200,2612,7699.287956,0.355666156,929
39049005300,3479,6151.08337,0.138545559,482
39049005410,1939.623,4996.23591,0.134858949,261.57552
39049005420,2541.365,6979.681469,0.12450903,316.42289
39049005500,5377,9404.705387,0.124604798,670
39049005610,2375,9729.88173,0.149052632,354
39049005620,2970,10603.77455,0.147138047,437
39049005700,3146,3955.439364,0.314685315,990
39049005810,2849,8004.838145,0.244647245,697
39049005820,2651,9006.072014,0.172387778,457
39049005900,3160,10481.91371,0.142088608,449
39049006000,2754,7364.666658,0.142701525,393
39049006100,3062,7515.585248,0.142390594,436
39049006220,5788,1616.193986,0.189530062,1097
39049006230,5473,465.2555568,0.269322127,1474
39049006236,5747,2294.585385,0.063266537,363.59279
39049006310,4343,2685.697272,0.040985494,178
39049006321,4102,2451.149672,0.05894763,241.80318
39049006323,3291,3559.582015,0.079307201,261
39049006330,4783,4352.460663,0.140706669,673
39049006340,3131,2474.856959,0.079846694,250
39049006351,3921,4451.198648,0.211680694,830
39049006352,2845,8947.770512,0.382425308,1088
39049006353,4366,6459.243532,0.293309574,1280.5896
39049006371,6433,4553.72642,0.247318514,1591
39049006372,5247,6042.894949,0.27787307,1458
39049006383,7307,2096.929483,0.244833721,1789
39049006384,6544,6930.325989,0.229676039,1503
39049006386,3416,2042.139297,0.235070258,803
39049006387,5471,3668.81275,0.208005849,1138
39049006391,4129,1639.787649,0.05570356,230
39049006392,4672,2934.079114,0.050299658,235
39049006393,5635,6191.152096,0.159117462,896.6269
39049006394,2931,7411.214201,0.159117404,466.37311
39049006395,3854,5453.273583,0.267175558,1029.6946
39049006396,3744,1144.188355,0.267175588,1000.3054
39049006410,2716,3219.823981,0.121134021,329
39049006430,4487,4477.602178,0.116558948,523
39049006500,3492,3728.776997,0.105670103,369
39049006600,3878,4632.867553,0.138264131,536.1883
39049006710,2716,4042.690853,0.119661267,325
39049006721,3544,3248.72583,0.048250564,171
39049006722,2910,1952.244676,0.096219931,280
39049006810,2303,3381.902363,0.154146765,355
39049006821,3539,6229.241473,0.183667703,650
39049006822,2049,4609.320123,0.181551977,372
39049006910,1483,2152.352237,0.055967633,83
39049006921,3923,3967.31465,0.225337752,884
39049006923,3348,4749.267901,0.137096774,459
39049006924,3762,5901.295668,0.192185008,723
39049006931,5880,7536.800017,0.196938776,1158
39049006932,5836,5910.51852,0.143248801,836
39049006933,5048,8642.835608,0.240095087,1212
39049006942,1190,8543.479112,0.198319328,236
39049006943,4426,6164.963302,0.170131044,753
39049006944,4262,4315.892246,0.137259503,585
39049006945,5048,6644.238153,0.265253566,1339
39049006950,2686,1683.349498,0.056962025,153
39049006990,6755.565,2314.17755,0.171403206,1157.9255
39049007010,3743,3535.037812,0.106331819,398
39049007020,6695,3912.252945,0.120836445,809
39049007041,2081,1428.103393,0.235255022,489.5657
39049007043,3318,3302.153415,0.235255033,780.5762
39049007044,5130,6014.206189,0.23525501,1206.8582
39049007047,3449,3819.915515,0.257442041,887.9176
39049007048,5050,4581.876849,0.257442059,1300.0824
39049007112,3960,2592.075406,0.150757576,597
39049007113,4343.733,4274.00858,0.214269293,930.7286
39049007114,3974,2474.171378,0.215435128,856.1392
39049007115,5039,7337.493117,0.214102163,1078.8608
39049007120,4929,3797.947062,0.163116251,804
39049007132,6282,2771.47789,0.251034702,1577
39049007193,6489,3720.250413,0.0798274,518
39049007194,6699,3547.549367,0.10852366,727
39049007198,2728,4606.482444,0.224964956,613.7044
39049007199,5400.267,3976.444539,0.231408706,1249.6688
39049007201,683,186.2942208,0.132473631,90.47949
39049007202,3088,2102.017668,0.231412727,714.6025
39049007203,1396.748,216.1936756,0.132473603,185.03224
39049007205,217.5845,104.6119337,0.132473627,28.824208
39049007207,1190.16,405.7747728,0.132473659,157.66485
39049007209,791.9235,358.9828144,0.132473629,104.90898
39049007210,5103.584,556.2330648,0.132473611,676.0902
39049007393,6818,1789.957566,0.066877894,455.97348
39049007394,2019,297.2067858,0.066877905,135.02649
39049007395,5084,1591.88165,0.263150393,1337.8566
39049007396,1931,288.7120049,0.263150388,508.1434
