GEOID,pctwhite_2000,pctblack_2000,white_2000,black_2000,aian_2000,asian_2000,multipleraces_2000,households_2000,familyhouseholds_2000,nonfamilyhouseholds_2000,hhlivingalone_2000,numberofhousingunits_2000,vacancyrate_2000,vacantunits_2000,pctpoverty_2000,poverty_2000
39049000110,96.99828473,1.000571755,3393,35,2,26,41,1761,924,837,685,1811,2.760905577,50,3.230417381,113
39049000120,96.44105497,0.603749603,3035,19,3,46,44,1553,894,659,552,1588,2.204030227,35,4.09914204,129
39049000210,94.97389034,1.305483029,2910,40,3,52,59,1432,828,604,517,1460,1.917808219,28,2.578328982,79
39049000220,96.94300518,0.466321244,3742,18,2,35,63,1654,1118,536,425,1684,1.781472684,30,2.564766839,99
39049000310,77.95488722,16.93233083,2592,563,3,51,114,1414,853,561,447,1584,10.73232323,170,13.92481203,463
39049000320,90.62880325,5.111561866,2234,126,6,37,58,1063,662,401,293,1105,3.800904977,42,6.855983773,169
39049000330,82.17620788,12.87048315,2024,317,14,13,95,1074,587,487,428,1137,5.540897098,63,15.71254568,387
39049000410,92.96969697,1.858585859,2301,46,4,45,78,1242,511,731,440,1301,4.534973098,59,9.97979798,247
39049000420,94.533459,1.413760603,3009,45,3,46,79,1541,760,781,584,1576,2.220812183,35,6.911718505,220
39049000500,88.24574692,2.00558504,3417.148,77.66245,9.83069,271.3271,96.34077,2050.682013,769.7430567,1280.938956,785.4721613,2136.20902,4.003681578,85.527007,12.61741539,488.5853118
39049000600,86.0223535,5.025427657,3223.852,188.3375,16.16931,135.6729,182.65921,1841.317987,600.2569433,1241.061044,807.5278387,2044.79098,9.950796682,203.472993,19.67650717,737.4146882
39049000710,72.2830915,22.29789754,2441,753,24,37,118,1382,856,526,417,1497,7.682030728,115,19.39591353,655
39049000720,22.46455834,72.7735369,618,2002,13,18,99,1080,711,369,317,1160,6.896551724,80,27.15376227,747
39049000730,3.453568688,92.81146073,135,3628,15,9,122,1473,995,478,399,1721,14.41022661,248,29.7262727,1162
39049000810,69.91465149,21.19487909,1966,596,12,135,103,1093,730,363,290,1159,5.69456428,66,10.59743954,298
39049000820,57.45475438,37.0295892,2000,1289,6,22,162,1396,841,555,433,1559,10.45542014,163,15.31169204,533
39049000910,27.71645818,67.40250184,1130,2748,24,28,146,1430,1051,379,298,1583,9.665192672,153,21.31469218,869
39049000920,26.77532014,68.68451688,690,1770,20,7,90,912,631,281,224,1064,14.28571429,152,33.72138145,869
39049001000,88.76757957,4.311621021,4797,233,24,166,183,2410,571,1839,809,2576,6.444099379,166,34.99259808,1891
39049001110,78.31647829,3.152885187,2633,106,2,524,94,1694,173,1521,752,1760,3.75,66,59.63712076,2005
39049001121,74.45146724,10.30836123,5905.101,817.6053,7.055079,813.6858,351.1862,566.758012,281.4192618,285.3387502,202.2455976,594.9783279,4.743082996,28.2203159,3.884166624,308.0717824
39049001122,74.45149216,10.30836172,1627.899,225.3947,1.944921,224.3142,96.81384,156.241988,77.58073817,78.66124984,55.75440236,164.0216721,4.743083033,7.7796841,3.884167583,84.92821755
39049001200,84.69807868,5.192131747,3703,227,20,292,129,1751,217,1534,605,1922,8.89698231,171,55.55809698,2429
39049001300,80.97672779,10.59590973,4593,601,11,277,184,2281,274,2007,906,2532,9.913112164,251,54.848378,3111
39049001400,11.51919866,83.47245409,207,1500,6,11,73,644,438,206,147,782,17.64705882,138,26.37729549,474
39049001500,4.183535762,91.63292848,93,2037,3,10,79,772,589,183,174,874,11.67048055,102,37.15699505,826
39049001600,22.91766972,73.37506018,476,1524,8,4,63,775,494,281,187,1000,22.5,225,53.97207511,1121
39049001700,54.00658617,33.77241127,1476,923,24,101,208,1228,389,839,593,1482,17.13900135,254,45.33479693,1239
39049001810,75.37780094,9.015112038,2893,346,10,409,175,1874,212,1662,878,1987,5.686965274,113,52.3189161,2008
39049001820,86.28571429,6.326530612,2114,155,3,99,78,1393,308,1085,634,1513,7.931262393,120,20.7755102,509
39049001901,90.86373938,3.831038952,1282.996,54.09427,2.993497,31.01529,40.60683,947.2931779,201.7267687,745.5664091,602.255361,986.0598594,3.931473443,38.7666815,12.88729283,181.9685747
39049001902,91.17887124,3.675697674,3214.967,129.6051,7.116157,75.59036,98.01954,2331.615785,519.8637156,1811.752069,1464.945143,2426.20453,3.898630302,94.588745,12.38209529,436.5926798
39049002000,84.02932738,10.9021358,2636,342,18,49,88,1705,450,1255,767,1813,5.956977386,108,14.4086707,452
39049002100,88.97108272,5.648957633,1323,84,4,40,35,1054,148,906,741,1193,11.65129925,139,16.40887693,244
39049002200,67.59259259,26.06837607,949,366,7,15,61,773,218,555,438,1115,30.67264574,342,30.41310541,427
39049002300,8.139534884,87.54152824,147,1581,2,14,62,652,429,223,153,802,18.7032419,150,25.63676633,463
39049002510,14.27132304,81.90060443,425,2439,13,16,85,1282,772,510,447,1413,9.271054494,131,16.62189389,495
39049002520,12.23974763,83.4384858,388,2645,10,10,116,1497,710,787,691,1632,8.272058824,135,26.7192429,847
39049002600,36.3329724,58.62143658,1548.201,2497.945,12,26,170,1821.660535,997.813842,823.8466934,722.7700401,2087.660535,12.74153511,266,27.55957956,1174.353922
39049002710,27.74634606,59.21735031,1177,2512,12,19,520,1868,1036,832,671,2205,15.28344671,337,44.67232438,1895
39049002730,39.57690613,52.44601146,898,1190,6,29,145,1031,526,505,394,1117,7.69919427,86,12.38431027,281
39049002740,80.02599653,17.33102253,1847,400,1,20,40,1013,654,359,318,1087,6.807727691,74,7.105719237,164
39049002750,42.59327669,49.50129294,1153,1340,13,43,158,1082,709,373,350,1169,7.44225834,87,23.90099741,647
