"","GEOID","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"1",39049000110,3498,4618.58195,0.168953688,591,96.99828473,1.000571755,3393,35,2,26,41,1761,924,837,685,1811,2.760905577,50,3.230417381,113,2797,114,533,883,498,17.80479085,1761,203,11.52754117,59614.34218,37,1.057747284,85940.14322,0,3414,109,9,0,3.192735794,"0"
"2",39049000120,3147,2840.858262,0.12392755,390,96.44105497,0.603749603,3035,19,3,46,44,1553,894,659,552,1588,2.204030227,35,4.09914204,129,2519,77,358,763,598,23.7395792,1553,260,16.74179008,63660.60606,26,0.826183667,100253.5192,0,3063,116,6,0,3.787136794,"0"
"3",39049000210,3064,4649.839648,0.174608355,535,94.97389034,1.305483029,2910,40,3,52,59,1432,828,604,517,1460,1.917808219,28,2.578328982,79,2308,78,347,805,593,25.6932409,1432,314,21.9273743,73323.17416,29,0.946475196,103381.0042,0,2861,72,23,0,2.516602587,"0"
"4",39049000220,3860,5139.242841,0.136787565,528,96.94300518,0.466321244,3742,18,2,35,63,1654,1118,536,425,1684,1.781472684,30,2.564766839,99,2838,54,240,1072,911,32.10007047,1654,138,8.343409915,79024.10225,33,0.85492228,135465.0157,154358.2758,3749,91,12,0,2.42731395,"0"
"5",39049000310,3325,4645.644454,0.172330827,573,77.95488722,16.93233083,2592,563,3,51,114,1414,853,561,447,1584,10.73232323,170,13.92481203,463,2142,390,836,260,109,5.088702148,1414,562,39.74540311,40877.26953,65,1.954887218,65562.00133,53478.13389,2593,280,539,178,10.79830312,"33.02411874"
"6",39049000320,2465,5004.625299,0.142799189,352,90.62880325,5.111561866,2234,126,6,37,58,1063,662,401,293,1105,3.800904977,42,6.855983773,169,1786,279,732,203,61,3.415453527,1063,131,12.32361242,40299.81291,47,1.906693712,65955.68039,1.764104661,2303,150,139,19,6.513243595,"13.66906475"
"7",39049000330,2463,8015.677214,0.155095412,382,82.17620788,12.87048315,2024,317,14,13,95,1074,587,487,428,1137,5.540897098,63,15.71254568,387,1635,482,621,93,34,2.079510703,1074,376,35.00931099,35418.30855,44,1.786439302,57320.00092,47501.75439,1935,273,339,88,14.10852713,"25.95870206"
"8",39049000410,2475,8277.029901,0.334141414,827,92.96969697,1.858585859,2301,46,4,45,78,1242,511,731,440,1301,4.534973098,59,9.97979798,247,1753,62,248,564,392,22.36166572,1242,765,61.5942029,48218.52446,69,2.787878788,71595.35713,66288.59794,2308,209,64,0,9.055459272,"0"
"9",39049000420,3183,5628.940123,0.229343387,730,94.533459,1.413760603,3009,45,3,46,79,1541,760,781,584,1576,2.220812183,35,6.911718505,220,2418,72,318,886,555,22.9528536,1541,481,31.21349773,57658.11075,60,1.885014138,87779.74056,54516.47106,2980,214,72,0,7.181208054,"0"
"10",39049000500,3872.309,7966.67708,0.296775825,1149.2077,88.24574692,2.00558504,3417.148,77.66245,9.83069,271.3271,96.34077,2050.682013,769.7430567,1280.938956,785.4721613,2136.20902,4.003681578,85.527007,12.61741539,488.5853118,2627.743538,139.5958034,271.3270545,1013.544178,628.1811153,23.90572391,2050.682013,1204.259572,58.72483221,48487.53155,74.71325,1.929423762,72921.01485,1.764104661,3438.775495,353.9048537,58.98414228,0,10.2915952,"0"
"11",39049000600,3747.691,9908.802557,0.305999694,1146.7923,86.0223535,5.025427657,3223.852,188.3375,16.16931,135.6729,182.65921,1841.317987,600.2569433,1241.061044,807.5278387,2044.79098,9.950796682,203.472993,19.67650717,737.4146882,2488.256462,273.4041966,319.6729455,749.4558219,352.8188847,14.17936174,1841.317987,1324.740428,71.94522825,37569.86954,102.2868,2.729328539,58843.87005,52449.89319,3311.224505,597.0951463,203.0158577,73,18.03245734,"35.95778222"
"12",39049000710,3377,6677.729151,0.153094463,517,72.2830915,22.29789754,2441,753,24,37,118,1382,856,526,417,1497,7.682030728,115,19.39591353,655,2170,725,924,138,22,1.013824885,1382,443,32.05499276,31945.06531,73,2.161681966,47645.50517,54673.33975,2417,478,826,167,19.77658254,"20.21791768"
"13",39049000720,2751,3258.466337,0.129407488,356,22.46455834,72.7735369,618,2002,13,18,99,1080,711,369,317,1160,6.896551724,80,27.15376227,747,1643,548,630,43,15,0.91296409,1080,432,40,34422.69373,75,2.726281352,34862.44696,46948.4551,661,224,1946,492,33.88804841,"25.28263104"
