GEOID,over25population_2000,lessthanhs_2000,hsgrad_2000,fouryeardegree_2000,graddegree_2000,pctgraddegree_2000
39049000110,2797,114,533,883,498,17.80479085
39049000120,2519,77,358,763,598,23.7395792
39049000210,2308,78,347,805,593,25.6932409
39049000220,2838,54,240,1072,911,32.10007047
39049000310,2142,390,836,260,109,5.088702148
39049000320,1786,279,732,203,61,3.415453527
39049000330,1635,482,621,93,34,2.079510703
39049000410,1753,62,248,564,392,22.36166572
39049000420,2418,72,318,886,555,22.9528536
39049000500,2627.743538,139.5958034,271.3270545,1013.544178,628.1811153,23.90572391
39049000600,2488.256462,273.4041966,319.6729455,749.4558219,352.8188847,14.17936174
39049000710,2170,725,924,138,22,1.013824885
39049000720,1643,548,630,43,15,0.91296409
39049000730,2209,816,782,88,29,1.312811227
39049000810,1824,497,671,149,59,3.234649123
39049000820,2141,651,658,136,90,4.203643157
39049000910,2327,680,1030,76,40,1.71895144
39049000920,1446,515,467,78,43,2.973720609
39049001000,2238,281,268,661,226,10.09830206
39049001110,833,67,69,292,178,21.36854742
39049001121,1020.63476,49.38555291,69.76689221,305.7200895,500.1267105,49.00153611
39049001122,281.3652398,13.61444709,19.23310779,84.27991055,137.8732895,49.00153609
39049001200,895,94,62,222,136,15.19553073
39049001300,1084,153,219,232,116,10.70110701
39049001400,945,401,280,33,7,0.740740741
39049001500,1081,505,352,33,12,1.110083256
39049001600,860,415,254,61,28,3.255813953
39049001700,1136,395,336,99,75,6.602112676
39049001810,1134,103,127,398,240,21.16402116
39049001820,1625,145,94,595,455,28
39049001901,1118.560149,78.94935022,149.7204046,399.3285239,191.9660792,17.16189151
39049001902,2783.416531,194.941673,370.2482585,1001.155133,484.9166368,17.42163386
39049002000,2350,267,223,841,553,23.53191489
39049002100,1148,126,113,456,220,19.16376307
39049002200,1000,263,240,219,93,9.3
39049002300,933,357,366,13,18,1.92926045
39049002510,2014,541,596,116,47,2.33366435
39049002520,2153,453,559,223,71,3.297724106
39049002600,2795.572932,969.6933868,1032.879545,93,157,5.616022326
39049002710,2270,701,688,189,145,6.387665198
39049002730,1319,198,443,142,49,3.714935557
39049002740,1753,157,412,438,271,15.45921278
39049002750,1733,402,670,143,51,2.94287363
39049002760,2258,346,612,567,197,8.724534987
39049002770,1289,308,451,112,27,2.094647013
39049002780,1969,116,417,433,414,21.02590147
39049002800,1949,639,654,100,58,2.975885069
39049002900,1430,592,481,46,0,0
39049003000,1477,430,345,213,137,9.275558565
39049003200,1372,160,151,443,279,20.33527697
39049003600,1131,419,297,135,49,4.33244916
39049003700,2532,671,665,376,132,5.213270142
39049003800,1582,286,360,343,149,9.418457649
39049004000,1640,326,353,329,193,11.76829268
39049004200,825,403,228,39,0,0
39049004300,2670,744,431,562,479,17.94007491
39049004500,3295,1101,1284,132,38,1.153262519
39049004610,2536,377,780,375,162,6.388012618
39049004620,1655,595,671,42,46,2.779456193
39049004700,3158,1081,1032,271,29,0.918302723
39049004810,1933,458,855,147,77,3.983445422
39049004820,1740,701,662,90,0,0
39049004900,3798,1426,1464,120,89,2.343338599
39049005000,4004,2227,1091,143,26,0.649350649
39049005100,1272,619,417,48,42,3.301886792
39049005200,2034,215,247,747,539,26.49950836
39049005300,1938,746,534,136,86,4.437564499
39049005410,1098.647674,404.8677569,411.8895609,26.27838713,40.06529549,3.646782898
39049005420,1455.345618,477.1297705,489.1079238,152.7214537,35.9344597,2.469135802
39049005500,3118,781,1349,194,148,4.746632457
39049005610,1230,562,395,29,9,0.731707317
39049005620,1836,655,705,101,31,1.688453159
39049005700,2554,216,383,876,533,20.86922475
39049005810,2112,291,500,515,248,11.74242424
39049005820,1711,542,600,173,36,2.104032729
39049005900,1816,493,659,156,39,2.147577093
39049006000,1414,652,477,41,8,0.565770863
39049006100,1836,1070,471,44,5,0.272331155
39049006220,4015,96,540,1725,818,20.373599
39049006230,3752,174,864,1307,476,12.68656716
39049006236,3511.008743,70.48536733,218.4348512,1534.626958,1076.123133,30.64997019
39049006310,3162,94,317,1227,936,29.60151803
39049006321,2918.704577,73.10729418,361.2968985,1000.493636,925.8286005,31.72053135
39049006323,2550,48,393,770,697,27.33333333
39049006330,3384,106,625,1181,648,19.14893617
39049006340,2191,25,199,808,696,31.76631675
39049006351,2934,141,430,1023,493,16.80299932
39049006352,1593,105,144,642,370,23.22661645
39049006353,3207.08188,115.0964147,472.4370155,1107.124516,595.0281008,18.55356748
39049006371,4285,216,665,1460,676,15.77596266
39049006372,3458,190,614,1166,510,14.74840949
39049006383,4546,110,814,1571,651,14.32028157
39049006384,4079,94,580,1605,616,15.10174062
39049006386,2280,193,272,831,339,14.86842105
39049006387,3513,128,586,1275,543,15.45687447
39049006391,2783,33,269,1035,883,31.7283507
39049006392,3013,41,235,1099,1153,38.26750747
39049006393,3422.706631,86.83399486,535.4763017,1288.695424,496.006304,14.49163944
39049006394,1780.293369,45.16600514,278.5236983,670.3045762,257.993696,14.49163944
39049006395,2866.913398,180.5769939,435.7180837,967.8115293,539.7020269,18.82519462
39049006396,2785.086602,175.4230061,423.2819163,940.1884707,524.2979731,18.82519462
39049006410,1917,54,165,804,525,27.38654147
39049006430,3054,48,196,1227,915,29.96070727
39049006500,2245,9,54,1027,849,37.81737194
39049006600,2779.970007,51.55422734,231.041078,1037.868942,983.3823082,35.37384597
39049006710,2025,122,333,530,504,24.88888889
39049006721,2455,66,305,987,646,26.31364562
39049006722,2112,115,408,624,404,19.12878788
39049006810,1616,78,175,595,425,26.29950495
39049006821,2613,337,629,535,326,12.47608113
39049006822,1599,110,382,471,234,14.63414634
39049006910,1124,13,107,405,349,31.04982206
39049006921,2486,436,727,461,248,9.975864843
39049006923,2416,307,844,355,176,7.284768212
39049006924,2575,253,717,414,261,10.13592233
39049006931,3794,487,1337,622,236,6.220347918
39049006932,3797,395,1060,997,220,5.794047933
39049006933,2900,393,874,549,102,3.517241379
39049006942,728,45,282,102,38,5.21978022
39049006943,3046,371,1045,526,88,2.8890348
39049006944,3081,147,738,828,328,10.64589419
39049006945,3152,452,1094,465,143,4.53680203
39049006950,2209,49,294,676,622,28.15753735
39049006990,4083.737325,240.9844993,641.9587077,1420.908604,499.9678409,12.24289912
39049007010,1748,102,554,383,225,12.87185355
39049007020,4471,457,1282,1066,354,7.917691792
39049007041,1391.417988,48.42292715,168.7884889,532.4545541,230.2559598,16.54829546
39049007043,2218.512679,77.20676228,269.1207142,848.9592554,367.1260328,16.54829546
39049007044,3430.069332,119.3703106,416.0907968,1312.586191,567.6180074,16.54829546
39049007047,2204.779033,112.4100482,414.7403224,694.7509119,250.3862807,11.35652494
39049007048,3228.220967,164.5899518,607.2596776,1017.249088,366.6137193,11.35652494
39049007112,2724,311,814,539,275,10.09544787
39049007113,2530.262143,214.9373215,691.7982626,588.82829,124.963559,4.938759383
39049007114,2560.972535,210.5265018,579.728397,669.9362351,198.5375843,7.752429268
39049007115,3379.027465,231.4734982,941.271603,802.0637649,282.4624157,8.359281438
39049007120,3049,256,921,618,154,5.05083634
39049007132,4330,212,829,1689,524,12.10161663
39049007193,4248,120,818,1337,707,16.64312618
39049007194,4635,371,969,1309,579,12.49190939
39049007198,1823.130435,57.39130435,300.3478261,655.026087,259.026087,14.20776495
39049007199,3423.857806,144.4685934,867.9095258,916.2268532,293.3013167,8.566398879
39049007201,446.428541,24.16668443,98.41372695,146.6015134,71.99051476,16.12587641
39049007202,1957.880052,82.59408507,496.2922116,523.9448568,167.7351243,8.567180821
39049007203,912.9547638,49.42132424,201.2579228,299.8028525,147.2219569,16.12587641
39049007205,142.2195232,7.698823042,31.35183359,46.70310122,22.93414454,16.12587641
39049007207,777.9231616,42.11160764,171.4906431,255.460174,125.4469276,16.12587641
39049007209,517.6241209,28.02074159,114.1085621,169.9812456,83.471426,16.12587641
39049007210,3335.849889,180.5808191,735.3773114,1095.451113,537.9350302,16.12587641
39049007393,4508.042775,205.9981894,726.780129,1460.504017,908.8609257,20.16087626
39049007394,1334.957225,61.00181057,215.219871,432.4959828,269.1390743,20.16087626
39049007395,3193.897078,302.2135424,789.95866,761.6940841,338.4501782,10.59677785
39049007396,1213.102922,114.7864576,300.04134,289.3059159,128.5498218,10.59677786
39049007424,3393.934736,573.4820543,1442.697015,334.6977146,123.8881093,3.650279659
39049007425,1936.003367,219.6983061,697.8289644,326.7306278,91.24173291,4.71289123
39049007426,2091.131183,194.7991681,568.4444433,461.6391646,139.9329452,6.691734421
39049007427,3874,203,951,1068,514,13.26794011
39049007492,3888.930715,98.02047145,582.0295776,1370.932493,830.9372126,21.36672709
39049007494,2653.834248,87.96136114,706.6895719,706.6895719,309.8638859,11.67608286
39049007511,1035,388,367,59,0,0
39049007512,2318.922263,649.9782109,878.9705344,114.996145,19.99932956,0.862440707
39049007520,1778.98039,521.994246,754.9916776,82.99908509,41.99953704,2.360876898
39049007531,1617,424,598,157,32,1.978973408
39049007532,1144,182,388,126,28,2.447552448
39049007533,966,164,367,117,29,3.002070393
39049007534,1765,586,633,116,56,3.172804533
39049007550,1299.097347,184.0275432,381.037788,229.0047699,136.0011334,10.46889471
39049007551,1728.018692,422.8130841,661.7943925,112.0498442,55.14953271,3.191489361
39049007710,2847,811,1124,206,47,1.650860555
39049007721,3545,889,1220,332,144,4.062059238
39049007722,2371,684,866,206,31,1.307465205
39049007730,2058,334,597,344,179,8.69776482
39049007740,1390,181,477,287,47,3.381294964
39049007811,2719.213543,117.7962911,463.266086,843.3818488,573.1432986,21.07753913
39049007812,2915,183,460,942,704,24.1509434
39049007820,2173,140,304,574,710,32.67372296
39049007830,1735,92,185,617,421,24.26512968
39049007921,2919,221,888,604,255,8.735868448
39049007922,2527,93,358,998,478,18.91571033
39049007931,2774,428,798,671,155,5.587599135
39049007933,4737,246,1086,1532,426,8.993033566
39049007941,1730,148,309,596,226,13.06358382
39049007951,4540,51,552,1813,913,20.11013216
39049007952,5287,207,873,1724,1016,19.21694723
39049007953,3654.362626,230.2080753,726.1972177,1089.549919,345.0580202,9.442358505
39049007954,3536.637374,222.7919247,702.8027823,1054.450081,333.9419798,9.442358503
39049008000,2830,90,914,573,240,8.480565371
39049008110,3057,681,993,336,151,4.939483153
39049008120,2464,722,1145,98,35,1.420454545
39049008132,3992,520,1516,551,126,3.156312625
39049008141,2919,285,942,690,199,6.81740322
39049008142,2433,203,459,710,240,9.864364982
39049008161,2889,425,963,454,109,3.77293181
39049008162,4774,802,1673,511,189,3.958944282
39049008163,1759.250805,343.6449275,638.139694,199.4440419,48.33776167,2.747633341
39049008164,2571.749195,502.3550725,932.860306,291.5559581,70.66223833,2.747633341
39049008210,1517,457,668,58,14,0.922874094
39049008230,2096,902,651,115,51,2.433206107
39049008241,1459,428,459,181,67,4.592186429
39049008242,4007,479,947,916,385,9.608185675
39049008311,2528,692,1185,118,55,2.175632911
39049008312,2818,850,1324,33,59,2.093683463
39049008321,1726,420,640,148,52,3.012746234
39049008322,3123,838,1370,213,67,2.145373039
39049008330,1268,479,524,67,27,2.129337539
39049008340,3667,1233,1384,232,55,1.499863649
39049008350,2979,693,1141,296,52,1.745552199
39049008360,3814,858,1639,340,98,2.56948086
39049008370,3558.68398,506.3858484,1436.258087,302.6329627,133.8376799,3.760875667
39049008380,2358,461,968,208,51,2.162849873
39049008400,2287.618121,145.038967,295.6766256,916.9946148,499.0519671,21.81535294
39049008500,2928.435191,288.5157824,645.3136333,812.6527871,359.6830087,12.28243021
39049008710,1878,439,820,87,21,1.118210863
39049008720,2573,1007,943,72,25,0.971628449
39049008730,1327,543,429,39,7,0.527505652
39049008811,1297.003208,704.5160486,425.9586734,13.39722013,0.088572104,0.006828981
39049008812,2086,555,817,100,46,2.205177373
39049008813,1688.476468,517.9192003,619.7067888,90.81049563,10.97709288,0.650118203
39049008821,1910,767,731,47,26,1.361256545
39049008822,2344,674,879,79,31,1.322525597
39049008825,4083.520324,1069.564751,1986.334538,154.7922842,48.93433502,1.198337002
39049008900,2602.006708,114.0024726,308.0025154,821.0001591,666.0002448,25.59563904
39049009000,2240,33,239,809,840,37.5
39049009100,3175,94,271,1215,1054,33.19685039
39049009210,2575,427,830,320,190,7.378640777
39049009220,1714.76901,347.0803443,744.9469154,65.16929699,41.07173601,2.395176013
39049009230,3020.928742,678.6044955,1226.029173,284.3213773,121.1587757,4.010646594
39049009240,1375,274,664,50,42,3.054545455
39049009250,1312.578947,325.6700405,560.2712551,54.44331984,56.42307692,4.298642535
39049009311,1888.295302,277.0618273,713.3256495,224.3102887,65.23770877,3.454846745
39049009312,2023,272,809,201,77,3.806228374
39049009321,1510.315406,311.8146541,530.8832237,165.5928277,81.85602674,5.419796846
39049009322,2357.047909,403.9889851,810.1229248,278.5080943,117.5071444,4.985352396
39049009323,2228,471,909,119,53,2.378815081
