GEOID,occupiedunits_2000,renterunits_2000,pctrenters_2000
39049000110,1761,203,11.52754117
39049000120,1553,260,16.74179008
39049000210,1432,314,21.9273743
39049000220,1654,138,8.343409915
39049000310,1414,562,39.74540311
39049000320,1063,131,12.32361242
39049000330,1074,376,35.00931099
39049000410,1242,765,61.5942029
39049000420,1541,481,31.21349773
39049000500,2050.682013,1204.259572,58.72483221
39049000600,1841.317987,1324.740428,71.94522825
39049000710,1382,443,32.05499276
39049000720,1080,432,40
39049000730,1473,734,49.83027834
39049000810,1093,256,23.42177493
39049000820,1396,550,39.3982808
39049000910,1430,510,35.66433566
39049000920,912,424,46.49122807
39049001000,2410,1868,77.51037344
39049001110,1694,1633,96.39905549
39049001121,566.758012,455.4445435,80.35961272
39049001122,156.241988,125.5554565,80.35961272
39049001200,1751,1647,94.06053684
39049001300,2281,2201,96.49276633
39049001400,644,348,54.03726708
39049001500,772,526,68.13471503
39049001600,775,662,85.41935484
39049001700,1228,1137,92.58957655
39049001810,1874,1822,97.22518677
39049001820,1393,1081,77.6022972
39049001901,947.2931779,804.4477281,84.92067154
39049001902,2331.615785,1937.726417,83.106592
39049002000,1705,1102,64.63343109
39049002100,1054,936,88.80455408
39049002200,773,577,74.64424321
39049002300,652,346,53.06748466
39049002510,1282,371,28.93915757
39049002520,1497,847,56.57982632
39049002600,1821.660535,1032.671486,56.68846999
39049002710,1868,1850,99.03640257
39049002730,1031,790,76.62463628
39049002740,1013,102,10.06910168
39049002750,1082,553,51.1090573
39049002760,1677,873,52.05724508
39049002770,946,446,47.14587738
39049002780,1078,294,27.27272727
39049002800,1449,998,68.87508627
39049002900,1198,1076,89.8163606
39049003000,897,769,85.73021182
39049003200,950,876,92.21052632
39049003600,857,638,74.44574096
39049003700,1758,1171,66.60978385
39049003800,1079,753,69.78683967
39049004000,1731,1592,91.96995956
39049004200,561,512,91.26559715
39049004300,2046,1482,72.4340176
39049004500,1948,887,45.5338809
39049004610,1558,275,17.6508344
39049004620,990,484,48.88888889
39049004700,1894,865,45.67053854
39049004810,1186,370,31.19730185
39049004820,1049,416,39.65681602
39049004900,2395,1107,46.22129436
39049005000,2378,1624,68.29268293
39049005100,880,500,56.81818182
39049005200,1506,902,59.8937583
39049005300,1204,846,70.26578073
39049005410,707.7488821,433.8675794,61.30247471
39049005420,961.2467971,477.1297705,49.63655244
39049005500,1987,944,47.50880725
39049005610,834,512,61.39088729
39049005620,1097,519,47.31084777
39049005700,1857,961,51.75013463
39049005810,1400,724,51.71428571
39049005820,1069,549,51.35640786
39049005900,1116,540,48.38709677
39049006000,966,585,60.55900621
39049006100,1121,699,62.35504014
39049006220,2567,983,38.29372809
39049006230,2443,1226,50.18419975
39049006236,1815.870553,48.15336976,2.651806303
39049006310,1745,88,5.042979943
39049006321,1637.667229,124.1087579,7.578386846
39049006323,1528,287,18.78272251
39049006330,2041,277,13.57177854
39049006340,1255,288,22.94820717
39049006351,1906,770,40.39874082
39049006352,1747,1652,94.56210647
39049006353,2464.69186,1578.817345,64.05739274
39049006371,2766,1427,51.59074476
