GEOID,whitemedianhhincome_2000,blackmedianhhincome_2000,White Alone Population for Whom Poverty Status is Determined,whitepoverty_2000,Black or African American Alone Population for Whom Poverty Status is Determined,blackpoverty_2000,whitepctpoverty_2000,blackpctpoverty_2000
39049000110,85940.14322,0,3414,109,9,0,3.192735794,0
39049000120,100253.5192,0,3063,116,6,0,3.787136794,0
39049000210,103381.0042,0,2861,72,23,0,2.516602587,0
39049000220,135465.0157,154358.2758,3749,91,12,0,2.42731395,0
39049000310,65562.00133,53478.13389,2593,280,539,178,10.79830312,33.02411874
39049000320,65955.68039,1.764104661,2303,150,139,19,6.513243595,13.66906475
39049000330,57320.00092,47501.75439,1935,273,339,88,14.10852713,25.95870206
39049000410,71595.35713,66288.59794,2308,209,64,0,9.055459272,0
39049000420,87779.74056,54516.47106,2980,214,72,0,7.181208054,0
39049000500,72921.01485,1.764104661,3438.775495,353.9048537,58.98414228,0,10.2915952,0
39049000600,58843.87005,52449.89319,3311.224505,597.0951463,203.0158577,73,18.03245734,35.95778222
39049000710,47645.50517,54673.33975,2417,478,826,167,19.77658254,20.21791768
39049000720,34862.44696,46948.4551,661,224,1946,492,33.88804841,25.28263104
39049000730,56720.92897,41953.54692,111,33,3733,1123,29.72972973,30.08304313
39049000810,56719.17663,67942.10637,1952,163,558,98,8.350409836,17.56272401
39049000820,59563.58165,48027.652,2010,296,1228,232,14.72636816,18.89250814
39049000910,47708.08359,51579.50899,1118,193,2781,676,17.26296959,24.30780295
39049000920,42316.4835,39874.01866,682,173,1791,684,25.36656891,38.19095477
39049001000,44374.97518,21474.00145,4886,1712,207,80,35.03888661,38.647343
39049001110,25508.98544,17198.30044,2550,1465,71,57,57.45098039,80.28169014
39049001121,48706.44104,26461.56991,558.9190353,166.9702027,145.8049657,54.87283657,29.87377279,37.6344086
39049001122,48706.44104,26459.80581,154.0809647,46.0297973,40.19503426,15.12716343,29.87377279,37.6344086
39049001200,31253.14365,45278.12027,3589,2139,208,76,59.59877403,36.53846154
39049001300,30306.52379,19690.75425,4284,2504,559,315,58.45004669,56.35062612
39049001400,45395.49803,39499.40713,223,40,1472,412,17.93721973,27.98913043
39049001500,66602.58453,34861.38306,79,38,2149,779,48.10126582,36.24941833
39049001600,37904.27011,18162.84013,478,127,1646,955,26.56903766,58.01944107
39049001700,33901.47245,20618.66466,1525,707,857,427,46.36065574,49.82497083
39049001810,25373.94655,17639.2825,2827,1601,353,174,56.63247259,49.2917847
39049001820,53780.44023,63553.68414,1991,417,151,20,20.94424912,13.24503311
39049001901,57856.14528,23384.83349,1278.270784,155.7375981,43.30975883,11.79879302,12.1834591,27.24280472
39049001902,58611.68642,23724.52145,3198.463507,374.214769,106.5320328,27.98869675,11.69982925,26.27256424
39049002000,72166.78915,21447.41965,2667,274,255,141,10.27371579,55.29411765
39049002100,53877.08753,53666.75844,1306,208,68,8,15.92649311,11.76470588
39049002200,61239.71235,20423.9042,987,245,290,129,24.82269504,44.48275862
39049002300,24153.92655,41639.27068,160,59,1594,404,36.875,25.34504391
39049002510,56543.36622,55676.23722,377,101,2429,360,26.79045093,14.82091396
39049002520,92234.3995,46936.01238,356,73,2413,705,20.50561798,29.21674264
39049002600,32061.00869,41021.59909,1479.244417,511.3539222,2370,635,34.56858895,26.79324895
39049002710,21506.73383,29091.9985,1151,520,2395,1040,45.17810599,43.42379958
39049002730,47659.04028,52639.40808,1048,116,1092,141,11.06870229,12.91208791
39049002740,88006.66581,77266.22126,1735,124,471,40,7.146974063,8.492569002
39049002750,57226.28222,43179.44655,1288,228,1215,351,17.70186335,28.88888889
39049002760,66265.22369,44814.27576,2071,186,969,238,8.981168518,24.56140351
39049002770,57472.89959,47257.06239,907,126,1058,108,13.89195149,10.20793951
39049002780,80286.95305,107707.5194,1411,79,719,25,5.598866052,3.47705146
39049002800,63333.80277,27148.01609,200,22,2968,1086,11,36.5902965
39049002900,11695.61122,18378.39316,114,63,2636,1394,55.26315789,52.8831563
39049003000,65682.16345,26376.56502,757,251,994,453,33.15719947,45.57344064
39049003200,55599.43943,39341.12214,1231,216,170,45,17.54670999,26.47058824
39049003600,27778.11787,23654.82375,210,88,1450,528,41.9047619,36.4137931
39049003700,53770.79864,32140.40696,588,108,3097,1148,18.36734694,37.06813045
39049003800,81154.57779,36580.14499,757,94,1349,408,12.41743725,30.24462565
39049004000,28917.62966,32978.00719,1433,418,431,155,29.16957432,35.96287703
39049004200,20773.56573,14489.41063,575,320,744,456,55.65217391,61.29032258
39049004300,64570.19586,19004.49792,3492,724,348,163,20.73310424,46.83908046
39049004500,57184.20424,55035.51058,4608,814,251,24,17.66493056,9.561752988
39049004610,81396.95834,36462.92874,3320,135,137,14,4.06626506,10.2189781
39049004620,57011.35748,65409.03946,2396,388,279,13,16.19365609,4.659498208
39049004700,55467.14226,44232.41167,3205,722,1746,349,22.52730109,19.98854525
39049004810,61037.52805,46138.94676,2556,362,211,66,14.1627543,31.27962085
39049004820,48055.72558,49887.86574,2130,419,455,94,19.6713615,20.65934066
39049004900,55029.97732,46676.03683,4343,855,1287,302,19.68685241,23.46542347
39049005000,38048.55974,23394.64264,5432,1733,527,278,31.90353461,52.75142315
39049005100,34335.74517,13037.73054,1128,321,477,393,28.45744681,82.38993711
39049005200,75422.77696,67352.35118,2167,301,237,81,13.89017074,34.17721519
39049005300,66192.52041,29957.63003,516,170,2861,1307,32.94573643,45.68332751
39049005410,31134.89595,36154.35969,122.2832613,10.07276135,1734.18217,548.5932867,8.237236432,31.63412103
39049005420,47128.89759,37649.68543,155.7159921,39.92717745,2298.807242,875.4033656,25.64102564,38.08076422
39049005500,46332.80151,43534.96303,347,54,4577,1338,15.56195965,29.23312213
