"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"1",39049000110,84209,0,47,675,91,NA,0,857,1060,809,434,73,73,62,43.9,1135,1947,1316,8,904,1860,3020,214,3510,99,3282,2868,84923,198,296,3510,5.32258064516129,93.5042735042735,2.59259259259259,2.07977207977208,6.03290676416819,0,100,6.0968660968661,2.05298013245033,14.3708609271523,35.0993377483444,26.7880794701987,8.43304843304843
"2",39049000120,104167,0,84,592,22,NA,1,840,774,905,176,56,56,65,47,995,1951,1148,0,728,1605,2612,92,3179,37,3024,2493,107591,91,278,3174,2.30529595015576,95.12425290972,0.69204152249135,1.76156023906889,3.00925925925926,4.54545454545455,100,2.89399182132746,2.4885145482389,6.73813169984686,29.6324655436447,34.6477794793262,8.75866414618777
"3",39049000210,89194,0,80,538,115,NA,26,823,920,734,351,69,69,40,38.7,912,1949,1321,22,685,1514,2581,157,3332,6,2819,2345,91090,121,421,3327,0.396301188903567,84.6038415366146,3.45138055222089,2.07082833133253,4.29230223483505,22.6086956521739,100,4.71188475390156,1.54978690430066,13.5993800852383,35.6450987989151,28.4385896939171,12.6540426810941
"4",39049000220,114464,0,51,385,16,NA,0,1147,1273,1111,125,147,147,53,43.4,1050,0,1598,7,503,1751,2985,68,3877,101,3701,2869,113884,68,134,3877,5.76813249571673,95.4604075315966,0.41269022440031,3.79159143667784,1.83734125911916,0,100,1.75393345370132,1.77554438860972,4.18760469011725,42.6465661641541,37.2194304857621,3.45628062935259
"5",39049000310,45852,0,200,495,741,40139,145,773,350,207,908,257,257,405,34.6,870,1959,860,0,656,1601,2652,879,3677,172,2550,1837,47847,677,643,3669,10.7432854465959,69.3500135980419,20.1522980690781,6.98939352733206,26.5490196078431,19.5681511470985,100,23.9053576285015,15.2714932126697,34.2383107088989,13.1975867269985,7.80542986425339,17.5252112292178
"6",39049000320,48611,0,0,376,316,34583,110,615,298,97,593,75,75,221,38.1,1127,1956,998,0,473,1127,1872,245,2472,39,1974,1608,48723,125,320,2472,3.46051464063886,79.8543689320388,12.7831715210356,3.03398058252427,6.3323201621074,34.8101265822785,100,9.91100323624596,11.8055555555556,31.6773504273504,15.9188034188034,5.18162393162393,12.9449838187702
"7",39049000330,26528,0,32,344,466,24342,142,603,161,59,684,182,182,456,33.2,785,1956,724,0,437,1151,1843,917,2601,111,1692,1338,29333,516,640,2596,9.64378801042572,65.0519031141868,17.916186082276,6.99730872741253,30.4964539007092,30.4721030042918,100,35.2556708958093,24.7422680412371,37.1134020618557,8.73575691806837,3.20130222463375,24.653312788906
"8",39049000410,76222,0,44,455,26,NA,0,433,754,589,139,51,51,50,31.8,1161,0,1204,0,766,1287,1907,108,2495,88,2349,1796,77118,108,730,2495,6.83760683760684,94.1482965931864,1.04208416833667,2.04408817635271,4.59770114942529,0,100,4.32865731462926,2.62191924488726,7.28893550078658,39.5385422128998,30.8862087047719,29.2585170340681
"9",39049000420,82337,0,72,460,75,161375,2,896,1070,772,272,34,34,38,37.4,906,0,1199,0,634,1600,2637,166,3453,70,3206,2495,82011,146,561,3448,4.375,92.8467998841587,2.17202432667246,0.984651028091515,4.55396132252027,2.66666666666667,100,4.80741384303504,1.44103147516117,10.3147516116799,40.5764125900645,29.2756920743269,16.2703016241299
"10",39049000500,60337,0,477,869,117,NA,65,727,1202,934,353,164,164,116,30.6,1024,0,1137,0,1354,2124,3126,592,4245,43,3395,2618,69868,236,1241,4240,2.02448210922787,79.9764428739694,2.75618374558304,3.86336866902238,6.95139911634757,55.5555555555556,100,13.9458186101296,3.7108125399872,11.2923864363404,38.4516954574536,29.8784388995521,29.2688679245283
