bg2020gj,bg2020ge,tr2010gj,tr2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G39000107701001,390017701001,G3900010770100,39001770100,1,1,1,1,1
G39000107701002,390017701002,G3900010770100,39001770100,1,1,1,1,1
G39000107701003,390017701003,G3900010770100,39001770100,1,1,1,1,1
G39000107701004,390017701004,G3900010770100,39001770100,1,1,1,1,1
G39000107702001,390017702001,G3900010770200,39001770200,1,1,1,1,1
G39000107702002,390017702002,G3900010770200,39001770200,1,1,1,1,1
G39000107702003,390017702003,G3900010770200,39001770200,1,1,1,1,1
G39000107702004,390017702004,G3900010770200,39001770200,1,1,1,1,1
G39000107703011,390017703011,G3900010770300,39001770300,1,1,1,1,1
G39000107703012,390017703012,G3900010770300,39001770300,1,1,1,1,1
G39000107703021,390017703021,G3900010770300,39001770300,1,1,1,1,1
G39000107703022,390017703022,G3900010770300,39001770300,1,1,1,1,1
G39000107704001,390017704001,G3900010770400,39001770400,1,1,1,1,1
G39000107704002,390017704002,G3900010770400,39001770400,1,1,1,1,1
G39000107704003,390017704003,G3900010770400,39001770400,1,1,1,1,1
G39000107704004,390017704004,G3900010770400,39001770400,1,1,1,1,1
G39000107705001,390017705001,G3900010770500,39001770500,1,1,1,1,1
G39000107705002,390017705002,G3900010770500,39001770500,1,1,1,1,1
G39000107705003,390017705003,G3900010770500,39001770500,1,1,1,1,0.999957076288
G39000107705003,390017705003,G3900010770600,39001770600,0,0,0,0,4.2923712e-5
G39000107706001,390017706001,G3900010770600,39001770600,1,1,1,1,1
G39000107706002,390017706002,G3900010770600,39001770600,1,1,1,1,1
G39000107706003,390017706003,G3900010770600,39001770600,1,1,1,1,1
G39000107706004,390017706004,G3900010770600,39001770600,1,1,1,1,1
G39000300101001,390030101001,G3900030010100,39003010100,1,1,1,1,1
G39000300101002,390030101002,G3900030010100,39003010100,1,1,1,1,1
G39000300101003,390030101003,G3900030010100,39003010100,1,1,1,1,1
G39000300102001,390030102001,G3900030010200,39003010200,1,1,1,1,1
G39000300102002,390030102002,G3900030010200,39003010200,1,1,1,1,1
G39000300102003,390030102003,G3900030010200,39003010200,1,1,1,1,1
G39000300102004,390030102004,G3900030010200,39003010200,1,1,1,1,1
G39000300103001,390030103001,G3900030010300,39003010300,1,1,1,1,1
G39000300103002,390030103002,G3900030010300,39003010300,1,1,1,1,1
G39000300106001,390030106001,G3900030010600,39003010600,1,1,1,1,1
G39000300106002,390030106002,G3900030010600,39003010600,1,1,1,1,1
G39000300106003,390030106003,G3900030010600,39003010600,1,1,1,1,1
G39000300106004,390030106004,G3900030010600,39003010600,1,1,1,1,1
G39000300108011,390030108011,G3900030010800,39003010800,1,1,1,1,1
G39000300108012,390030108012,G3900030010800,39003010800,1,1,1,1,1
G39000300108013,390030108013,G3900030010800,39003010800,1,1,1,1,1
G39000300108021,390030108021,G3900030010800,39003010800,1,1,1,1,1
G39000300108022,390030108022,G3900030010800,39003010800,1,1,1,1,1
G39000300109001,390030109001,G3900030010900,39003010900,1,1,1,1,1
G39000300109002,390030109002,G3900030010900,39003010900,1,1,1,1,1
G39000300109003,390030109003,G3900030010900,39003010900,1,1,1,1,1
G39000300110001,390030110001,G3900030011000,39003011000,1,1,1,1,1
G39000300110002,390030110002,G3900030011000,39003011000,1,1,1,1,1
G39000300110003,390030110003,G3900030011000,39003011000,1,1,1,1,1
G39000300110004,390030110004,G3900030011000,39003011000,1,1,1,1,1
G39000300112001,390030112001,G3900030011200,39003011200,1,1,1,1,1
G39000300112002,390030112002,G3900030011200,39003011200,0.999979980221,0.999981791436,0.999979399195,0.999981434709,0.993921713298
G39000300112002,390030112002,G3900030011300,39003011300,0,0,0,0,0.005681869665
G39000300112002,390030112002,G3900030014100,39003014100,2.0019779e-5,1.8208564e-5,2.0600805e-5,1.8565291e-5,3.96417037e-4
G39000300113011,390030113011,G3900030011300,39003011300,1,1,1,1,1
G39000300113012,390030113012,G3900030011300,39003011300,1,1,1,1,1
