"","aian_2021","asian_2021","hhlivingalone_2021","black_2021","latino_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","totalpopulation_2021","vacantunits_2021","white_2021","renters_2021","occupiedunits_2021","GEOID"
"1",0,0,0,0,676,0,0,0,0,0,0,0,0,39041011561
"2",0,38,783,93,2694,11,958,1912,3310,117,3112,403,3310,39049000110
"3",0,65,583,93,1146,87,793,1719,3258,52,2967,408,3253,39049000120
"4",0,164,525,50,1350,45,789,1646,3216,70,2809,718,3212,39049000210
"5",0,85,385,5,8020,45,484,1923,4057,109,3723,297,4057,39049000220
"6",0,205.0068213,434.0163987,619.0718506,34226,10,560.0186606,1416.034318,3097.37335,111.0016342,2063.2824,1228.014062,3086.06507,39049000310
"7",0,0,516,326,4450,125,625,1330,3010,23,2055,882,3010,39049000320
"8",0,48,375,582,12899,71,496,1161,2810,78,1611,1471,2805,39049000330
"9",0,41,446,48,196,0,770,1217,2493,34,2312,1551,2493,39049000410
"10",0,112,497,33,406,0,654,1660,3500,76,3208,860,3495,39049000420
"11",0,315.8558971,849.5457326,23,6605,0,1338.26896,2195.568005,4380.827018,61,3796.052689,2168.339367,4376.489205,39049000500
"12",0,95.14410285,738.4542674,315,19436,42,1104.73104,2004.431995,3758.172982,255,3059.947311,2783.660633,3758.510795,39049000600
"13",0,22,388,1552,28419,0,474,1552,3649,113,1770,2336,3649,39049000710
"14",0,0,331,1715,7709,0,388,1204,2712,127,765,1937,2712,39049000720
"15",0,0,383,2635,88269,52,521,1599,3812,280,1014,2794,3812,39049000730
"16",0,0,446,801,5329,305,638,1283,2897,48,1786,1266,2897,39049000810
"17",0,182,454,1311,37060,13,556,1658,3416,103,1671,1526,3411,39049000820
"18",0,0,418,2294,2205,5,661,1515,3223,228,764,1858,3223,39049000910
"19",0,0,157,1594,83521,69,188,925,2318,235,385,1269,2318,39049000920
"20",0,327,653,441,16269,59,1755,2208,5420,106,4354,4879,5415,39049001000
"21",0,551,326,117,2993,29,906,1286,3041,304,2216,2480,2561,39049001110
"22",0,1026,39,531,48901,71,52,75,10520,23,8602,152,152,39049001121
"23",0,744.6945505,344.2267085,222.037008,9464,31.025,451.1144876,786.4867806,2737.256922,186.2215818,1647.900228,805.7294816,1065.057255,39049001122
"24",0,282,340,259,21666,26,997,1440,3731,287,2901,3163,3221,39049001200
"25",0,374,406,248,3684,67,1347,2013,5414,374,4529,4047,4275,39049001300
"26",0,0,211,1113,18730,0,220,650,1592,48,234,997,1469,39049001400
"27",0,0,170,1835,9169,11,233,885,2145,106,217,1687,2145,39049001500
"28",0,85,394,623,17497,86,737,1273,2332,163,1236,1905,2324,39049001600
"29",0,240,735,527,13838,40,1253,1713,3168,180,2198,2750,3041,39049001700
"30",0,626,1002,271,15642,137,1524,2000,3686,285,2467,3137,3167,39049001810
"31",9,88.99916494,613.980194,125.9989263,6899,21.99964212,982.9637166,1513.931087,2393.978825,176.9904729,2021.98145,1614.9503,2390.881829,39049001820
"32",0,208.6061085,1152.830383,209.2529988,34405,0.000357884,1592.147505,2185.180892,2895.119333,230.9223528,2393.246326,2449.427908,2889.501104,39049001901
"33",0,136.8900677,1787.231517,79.13405076,90773,67.96374286,2358.21125,2932.506437,4359.348314,74.67629323,3949.614081,3678.157543,4358.226492,39049001902
"34",0,62,608,270,12941,171,1125,1835,3314,120,2718,1836,3309,39049002000
"35",0,83,734,56,15730,24,1112,1502,2299,155,2050,1830,2284,39049002100
"36",0,166.8309092,679.310539,333.8405673,5365,0,1017.256279,1487.318276,2011.710095,246.0837007,1435.080737,1475.647661,1957.709728,39049002200
"37",0,40,150,1048,1225,0,228,775,1777,158,503,1034,1777,39049002300
"38",0,0,434,2174,44929,17,528,1378,2972,141,461,1531,2869,39049002510
"39",0,69,583,1962,22370,0,754,1656,3241,219,907,1623,3105,39049002520
"40",0,27,631.9971777,2434.969787,293949,255,730.9960099,2017.989446,4469.94125,323.9977502,1384.975271,3195.985131,4318.972312,39049002600
"41",0,0,578,1983,8788,0,707,1330,2499,84,433,2479,2499,39049002710
"42",0,0,404,1676,14274,0,428,1147,2361,134,496,2090,2355,39049002730
"43",0,41,323,588,2257,15,424,1138,2609,6,1903,628,2593,39049002740
"44",0,32,298,1718,15129,12,356,1195,2543,185,585,2024,2543,39049002750
"45",0,0,740,1019,92017,0,986,1803,3484,125,2014,2036,3472,39049002760
"46",0,0,373,1164,91997,78,474,1054,2113,115,527,1426,2113,39049002770
"47",0,163,556,515,697,44,599,1275,2373,55,1593,515,2229,39049002780
"48",52,0,542,1317,144,12,810,1455,2166,361,663,1591,2154,39049002800
"49",0,11,495.0604396,2598.552764,10131,42.04522613,544.8772894,1525.837838,3065.929648,384.3363363,232.9246231,2919.462462,3174.474359,39049002900
"50",0,357.3216331,1795.898863,829.9964994,10096,12.95477387,2425.612463,3346.804646,4947.10602,373.1470515,3532.181081,3305.616459,4462.546072,39049003000
"51",0,70,749,54,40333,71,1333,1857,2981,183,2677,2417,2775,39049003200
"52",0,12.84745763,456.7301587,767.6101695,324,6,563.2539683,1109.039241,1584.254237,247.4329114,673.8135593,735.2734177,1542.269841,39049003600
"53",0,47,507,1107,3380,58,747,1930,3028,563,1651,1385,2999,39049003700
"54",0,11.4707828,631.3809524,351.4134509,100,0,898.3333333,1306.040936,2357.14333,101.5380117,1879.802646,979.1637427,2263.333333,39049003800
"55",0,461.5292172,2277.084957,648.5865491,33898,0,2682.324337,3305.266462,3846.85667,326.553825,2485.197354,3110.681921,3846.875473,39049004000
"56",0,9,242.2806541,159.1048394,11358,9,250.4009345,540.6312435,491.3835056,206.0780383,271.2786662,442.9156499,491.5594241,39049004200
"57",0,273.7493404,910.3120567,380,352012,31.77836412,1634.122931,2941.963719,4848.543536,524.8185941,3514.015831,3143.931973,4854.886525,39049004300
"58",0,94,836.6832515,416.5987898,41928,226,945.6832515,2507.514857,5212.910328,376.5892552,3834.153962,2910.378066,4986.813428,39049004500
"59",0,17,578,108,10403,13,698,1765,3663,48,3277,626,3638,39049004610
"60",0,5,180,1119,58837,28,290,1026,2933,174,1503,2086,2933,39049004620
"61",0,0,435,1777,317167,513,625,2157,5920,375,2959,4371,5920,39049004700
"62",0,136,535,216,9425,14,739,1362,2758,88,2180,420,2758,39049004810
"63",0,23,238,596,27033,6,321,1058,2584,126,1652,1686,2584,39049004820
"64",0,89,826,1044,75544,0,1143,2357,5555,385,4061,2589,5512,39049004900
"65",0,10,633.7193459,985.8951606,42037,29,928.5990655,2598.368756,5318.616494,549.9219617,3483.721334,4124.08435,5125.440576,39049005000
"66",0,8,287,1400,1849,0,325,881,2409,101,876,1874,2155,39049005100
"67",0,48,940.5340909,139,30141,152,1253.34233,2242.692602,3150,260.9081633,2685,1723.154337,3134.791193,39049005200
"68",0,37,374,1372,6084,0,611,1596,2934,406,1297,2164,2727,39049005300
"69",0,7,258,1172,10000,0,303,942,1567,288,213,1234,1548,39049005410
"70",0,0,268,1747,16,4,343,1164,2191,388,301,1532,2191,39049005420
"71",0,12,674,3401,17411,0,928,2345,4479,388,634,3169,4479,39049005500
"72",21,9,272,794,36,0,420,1030,1694,250,732,969,1694,39049005610
"73",0,0,392,594,1018,11,531,1345,2140,322,1457,1212,2127,39049005620
"74",0,0,987,148,6600,29,1376,2409,3829,147,3565,1963,3829,39049005700
"75",0,37,602,316,1600,1,950,1662,3067,92,2627,1463,3053,39049005810
"76",0,26,431,235,19925,0,644,1276,2291,129,1851,1096,2291,39049005820
"77",0,8,296,1518,4756,68,355,1120,2589,213,709,1685,2585,39049005900
"78",0,61,234,496,0,47,351,1001,2101,171,1374,1537,2101,39049006000
"79",0,183,207,584,3665,50,570,1376,2417,375,1491,1610,2332,39049006100
"80",0,1605,1378,340,53365,128,1726,4063,8625,140,6178,3716,8559,39049006220
"81",0,6027,3048,1077,58613,0,3573,9353,19508,546,12157,9541,19508,39049006230
