"","X","GEOID","aian_2021","asian_2021","hhlivingalone_2021","black_2021","blackmedianincome_2021","blackpoverty_2021","familyhouseholds_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latino_2021","latinopoverty_2021","lessthanhs_2021","medianage_2021","grossrent_2021","medianyearbuilt_2021","monthlyhousingcost_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","over25population_2021","poverty_2021","totalpopulation_2021","vacantunits_2021","whitemalebach_2021","whitemalehs_2021","whitemalelessthanhs_2021","white_2021","white25andolder_2021","whitemedianincome_2021","whitepoverty_2021","whitefemalebach_2021","whitefemalehs_2021","whitefemalelessthanhs_2021","renters_2021","occupiedunits_2021","vacancyrate_2021","pctwhite_2021","pctblack_2021","pctlatino_2021","pctwhitepoverty_2021","pctblackpoverty_2021","pctlatinopoverty_2021","pctpoverty_2021","medianagehousing_2021","pctlessthanhs_2021","whitepctlessthanhs_2021","pcthsgrad_2021","whitepcthsgrad_2021","pctfouryeardegree_2021","whitepctbachabove_2021","pctgraddegree_2021","pctrenters_2021"
"1",1,390490001101,0,13,248,45,NA,NA,206,NA,NA,NA,18,NA,NA,43.4,1148,1949,NA,0,333,593,NA,NA,949,54,NA,NA,NA,870,NA,NA,NA,NA,NA,NA,208,949,0.0910623946037099,91.6754478398314,4.7418335089568,1.89673340358272,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,21.9178082191781
"2",2,390490001102,0,18,121,0,NA,NA,291,NA,NA,NA,20,NA,NA,43.3,NA,1944,NA,0,188,512,NA,NA,1013,33,NA,NA,NA,980,NA,NA,NA,NA,NA,NA,37,1013,0.064453125,96.7423494570582,0,1.97433366238894,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,3.65251727541955
"3",3,390490001103,0,0,168,41,NA,NA,127,NA,NA,NA,0,NA,NA,46.5,1206,1948,NA,0,191,348,NA,NA,528,30,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,136,528,0.0862068965517241,89.9621212121212,7.76515151515152,0,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,25.7575757575758
"4",4,390490001104,0,7,246,7,NA,NA,213,NA,NA,NA,43,NA,NA,52.6,NA,1946,NA,11,246,459,NA,NA,820,0,NA,NA,NA,787,NA,NA,NA,NA,NA,NA,22,820,0,95.9756097560976,0.853658536585366,5.24390243902439,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,2.68292682926829
"5",5,390490001201,0,15,89,0,NA,NA,251,NA,NA,NA,11,NA,NA,51,NA,1947,NA,46,108,390,NA,NA,828,31,NA,NA,NA,758,NA,NA,NA,NA,NA,NA,0,828,0.0794871794871795,91.5458937198068,0,1.32850241545894,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,0
"6",6,390490001202,0,22,371,77,NA,NA,386,NA,NA,NA,8,NA,NA,42,1034,1955,NA,16,520,927,NA,NA,1647,21,NA,NA,NA,1501,NA,NA,NA,NA,NA,NA,372,1642,0.0226537216828479,91.1353976927747,4.67516697024894,0.485731633272617,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,22.6552984165652
"7",7,390490001203,0,28,123,16,NA,NA,237,NA,NA,NA,31,NA,NA,55.3,NA,1943,NA,25,165,402,NA,NA,783,0,NA,NA,NA,708,NA,NA,NA,NA,NA,NA,36,783,0,90.4214559386973,2.04342273307791,3.95913154533844,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,4.59770114942529
"8",8,390490002101,0,0,183,0,NA,NA,218,NA,NA,NA,8,NA,NA,49.6,919,1954,NA,23,301,547,NA,NA,978,28,NA,NA,NA,874,NA,NA,NA,NA,NA,NA,88,974,0.0511882998171846,89.3660531697341,0,0.81799591002045,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,9.03490759753593
"9",9,390490002102,0,85,42,50,NA,NA,180,NA,NA,NA,13,NA,NA,40.5,986,1947,NA,0,73,260,NA,NA,594,7,NA,NA,NA,417,NA,NA,NA,NA,NA,NA,131,594,0.0269230769230769,70.2020202020202,8.41750841750842,2.18855218855219,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,22.0538720538721
"10",10,390490002103,0,17,74,0,NA,NA,112,NA,NA,NA,26,NA,NA,34,1060,1950,NA,7,129,241,NA,NA,459,0,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,181,459,0,89.3246187363834,0,5.66448801742919,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,39.4335511982571
