"","GEOID","blackpoverty_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latinopoverty_2021","lessthanhs_2021","over25population_2021","poverty_2021","white25andolder_2021","whitepoverty_2021","pctlessthanhs_2021","pcthsgrad_2021","pctfouryeardegree_2021","pctgraddegree_2021"
"1",39049000110,0,827,945,345,81,74,2858,241,2719,220,2.58922323303009,12.0713785864241,28.9363191042687,33.0650804758572
"2",39049000120,1,977,917,204,49,63,2739,103,2542,102,2.30010952902519,7.44797371303395,35.6699525374224,33.4793720335889
"3",39049000210,0,1007,750,190,68,12,2651,105,2381,95,0.4526593738212,7.16710675216899,37.9856657864957,28.291210863825
"4",39049000220,0,1303,1309,115,160,38,3257,63,3025,63,1.16671783850169,3.53085661651827,40.0061406202026,40.1903592262818
"5",39049000310,167,301,250,717,201,312,2195,577,1566,363,14.2141230068337,32.6651480637813,13.7129840546697,11.3895216400911
"6",39049000320,183,339,285,841,80,310,2273,420,1575,27,13.6383633963924,36.9995600527937,14.9142102947646,12.5384953805543
"7",39049000330,81,153,76,776,169,528,1981,899,1247,513,26.653205451792,39.1721352852095,7.7233720343261,3.83644623927309
"8",39049000410,0,837,511,197,14,31,1938,171,1808,171,1.59958720330237,10.1651186790506,43.1888544891641,26.3673890608875
"9",39049000420,2,1169,790,302,28,134,2850,118,2647,101,4.70175438596491,10.5964912280702,41.0175438596491,27.719298245614
"10",39049000500,1,1540,988,412,113,46,3364,582,2879,562,1.36741973840666,12.2473246135553,45.7788347205707,29.3697978596908
"11",39049000600,157,1030,614,363,247,116,2592,878,2174,611,4.47530864197531,14.0046296296296,39.7376543209877,23.6882716049383
"12",39049000710,217,154,115,842,255,411,2182,792,1094,456,18.8359303391384,38.5884509624198,7.05774518790101,5.27039413382218
"13",39049000720,716,52,41,665,121,398,1619,1186,523,328,24.5830759728227,41.0747374922792,3.2118591723286,2.53242742433601
"14",39049000730,1698,147,45,861,445,548,2396,2305,771,515,22.8714524207012,35.9348914858097,6.13522537562604,1.87813021702838
"15",39049000810,371,266,104,661,73,394,1988,610,1298,239,19.8189134808853,33.2494969818913,13.3802816901408,5.23138832997988
"16",39049000820,484,303,167,940,206,350,2518,778,1433,243,13.8999205718824,37.3312152501986,12.0333598093725,6.63224781572677
"17",39049000910,700,142,55,1014,63,454,2226,891,545,108,20.3953279424978,45.5525606469003,6.37915543575921,2.47079964061096
"18",39049000920,996,70,29,412,289,501,1233,1122,288,106,40.632603406326,33.4144363341444,5.6772100567721,2.35198702351987
"19",39049001000,228,708,523,139,203,37,2195,2383,1544,1875,1.68564920273349,6.33257403189066,32.255125284738,23.8268792710706
"20",39049001110,63,121,131,70,55,0,441,1682,298,1228,0,15.8730158730159,27.437641723356,29.7052154195011
"21",39049001121,0,48,33,2,0,0,116,72,94,72,0,1.72413793103448,41.3793103448276,28.448275862069
"22",39049001122,62,205,231,15,42,0,554,352,334,214,0,2.70758122743682,37.0036101083032,41.6967509025271
"23",39049001200,122,330,103,82,237,61,692,2008,525,1612,8.8150289017341,11.849710982659,47.6878612716763,14.8843930635838
"24",39049001301,15,302,69,114,57,39,1021,1515,870,1393,3.81978452497551,11.1655239960823,29.5788442703232,6.75808031341822
"25",39049001302,33,0,10,0,36,0,29,888,25,719,0,0,0,34.4827586206897
"26",39049001400,456,43,15,402,178,195,907,604,170,98,21.4994487320838,44.3219404630651,4.74090407938258,1.65380374862183
"27",39049001500,714,48,38,482,139,191,1102,836,168,112,17.3321234119782,43.7386569872958,4.3557168784029,3.44827586206897
"28",39049001600,312,446,402,238,187,53,1471,781,838,235,3.60299116247451,16.1794697484704,30.3195105370496,27.3283480625425
"29",39049001700,342,484,337,138,182,31,1312,1430,976,899,2.36280487804878,10.5182926829268,36.890243902439,25.6859756097561
"30",39049001810,85,630,242,12,200,22,1055,1675,671,1297,2.08530805687204,1.13744075829384,59.7156398104265,22.9383886255924
"31",39049001820,10,736,629,158,143,0,1850,324,1577,264,0,8.54054054054054,39.7837837837838,34
"32",39049001901,62,1049,660,184,59,40,2409,476,1970,378,1.6604400166044,7.63802407638024,43.5450394354504,27.3972602739726
"33",39049001902,0,2036,983,241,469,108,3900,271,3539,163,2.76923076923077,6.17948717948718,52.2051282051282,25.2051282051282
"34",39049002000,212,1235,929,165,139,69,2772,371,2371,74,2.48917748917749,5.95238095238095,44.5526695526696,33.5137085137085
"35",39049002100,7,916,692,53,154,31,1809,232,1663,213,1.71365395245992,2.9297954671089,50.6357103372029,38.253178551686
"36",39049002200,254,1440,704,113,101,47,2647,432,1943,164,1.77559501322252,4.26898375519456,54.4012089157537,26.5961465810351
"37",39049002300,119,145,52,433,35,363,1242,442,352,226,29.2270531400966,34.8631239935588,11.6747181964573,4.18679549114332
"38",39049002510,640,247,102,629,247,343,1927,815,353,144,17.7996886351842,32.6414115204982,12.8178515827711,5.29320186818889
"39",39049002520,671,381,391,388,149,203,2216,921,733,74,9.16064981949459,17.5090252707581,17.1931407942238,17.64440433213
"40",39049002600,795,139,87,1026,555,590,2936,1613,1060,503,20.0953678474114,34.9455040871935,4.73433242506812,2.96321525885559
"41",39049002710,427,207,88,548,110,139,1437,678,274,215,9.67292971468337,38.1350034794711,14.4050104384134,6.12386917188587
"42",39049002730,655,65,54,727,161,195,1534,946,316,215,12.7118644067797,47.3924380704042,4.23728813559322,3.52020860495437
"43",39049002740,133,650,575,232,65,51,2037,223,1486,90,2.50368188512518,11.3892979872361,31.9096710849288,28.2277859597447
"44",39049002750,998,159,16,412,123,181,1212,1321,418,187,14.9339933993399,33.993399339934,13.1188118811881,1.32013201320132
"45",39049002760,178,648,411,820,353,205,2752,489,1605,127,7.44912790697674,29.796511627907,23.546511627907,14.9345930232558
"46",39049002770,178,131,44,624,387,152,1377,532,432,149,11.038489469862,45.3159041394335,9.51343500363108,3.19535221496006
"47",39049002780,71,685,555,290,35,70,2134,123,1443,43,3.28022492970947,13.5895032802249,32.0993439550141,26.0074976569822
"48",39049002800,792,250,88,531,12,169,1581,850,564,58,10.6894370651486,33.5863377609108,15.8127767235927,5.56609740670462
"49",39049002900,1945,57,114,744,116,308,1583,2140,202,84,19.4567277321541,46.9993682880606,3.60075805432723,7.20151610865445
"50",39049003000,158,1094,584,245,72,86,2366,555,1849,381,3.63482671174979,10.3550295857988,46.2383770076078,24.6830092983939
"51",39049003200,0,1316,756,205,275,39,2590,174,2322,160,1.50579150579151,7.91505791505791,50.8108108108108,29.1891891891892
"52",39049003600,212,286,117,289,18,116,1448,420,631,189,8.01104972375691,19.9585635359116,19.7513812154696,8.08011049723757
"53",39049003700,551,772,467,411,82,146,2359,791,1426,146,6.18906316235693,17.4226367104705,32.7257312420517,19.7965239508266
"54",39049003800,211,564,521,360,10,123,1936,390,1541,179,6.35330578512397,18.595041322314,29.1322314049587,26.9111570247934
"55",39049004001,143,408,277,112,102,20,1147,477,922,205,1.743679163034,9.76460331299041,35.5710549258936,24.1499564080209
"56",39049004002,251,528,525,387,37,164,2003,401,1101,116,8.18771842236645,19.3210184722916,26.3604593110335,26.2106839740389
"57",39049004200,120,78,60,132,27,16,370,203,218,67,4.32432432432432,35.6756756756757,21.0810810810811,16.2162162162162
"58",39049004301,0,1059,725,28,75,21,2170,253,2009,158,0.967741935483871,1.29032258064516,48.8018433179723,33.4101382488479
"59",39049004302,139,88,0,439,676,436,1283,1274,905,524,33.9828526890101,34.2166796570538,6.858924395947,0
"60",39049004500,99,667,171,1027,321,795,3708,1776,3019,1329,21.4401294498382,27.6968716289105,17.9881337648328,4.61165048543689
"61",39049004610,18,779,540,617,177,277,2941,499,2695,468,9.41856511390684,20.9792587555253,26.4875892553553,18.3611016661
"62",39049004620,424,182,46,611,343,457,1649,1070,1122,545,27.7137659187386,37.0527592480291,11.0369921164342,2.78956943602183
"63",39049004700,537,105,96,1358,1367,864,3261,1804,1689,709,26.4949402023919,41.6436675866299,3.21987120515179,2.94388224471021
"64",39049004810,71,283,195,713,129,345,2141,357,1739,259,16.1139654367118,33.3021952358711,13.218122372723,9.10789350770668
"65",39049004820,174,141,46,553,243,361,1515,541,1009,226,23.8283828382838,36.5016501650165,9.30693069306931,3.03630363036304
"66",39049004900,222,303,168,1582,358,918,3871,1880,2813,1496,23.7148023766469,40.8679927667269,7.8274347713769,4.33996383363472
"67",39049005001,131,176,77,445,15,231,1180,609,977,450,19.5762711864407,37.7118644067797,14.9152542372881,6.52542372881356
"68",39049005002,430,96,24,722,294,807,1985,1644,1235,793,40.6549118387909,36.3727959697733,4.83627204030227,1.20906801007557
"69",39049005100,913,31,38,644,43,323,1199,1313,560,282,26.9391159299416,53.7114261884904,2.58548790658882,3.16930775646372
"70",39049005200,14,1242,925,88,219,46,2735,183,2417,169,1.6819012797075,3.21755027422303,45.4113345521024,33.8208409506399
"71",39049005300,575,485,186,442,78,203,2002,1015,1093,288,10.1398601398601,22.0779220779221,24.2257742257742,9.29070929070929
"72",39049005410,398,76,56,272,100,254,1001,613,209,84,25.3746253746254,27.1728271728272,7.59240759240759,5.59440559440559
"73",39049005420,651,127,103,568,4,154,1357,765,263,68,11.3485630066323,41.8570375829035,9.35887988209285,7.59027266028003
"74",39049005500,1363,359,134,1197,153,372,2979,1551,572,100,12.4874118831823,40.1812688821752,12.0510238335012,4.49815374286673
"75",39049005610,313,212,43,348,6,204,1198,490,595,142,17.0283806343907,29.0484140233723,17.6961602671119,3.58931552587646
"76",39049005620,190,262,162,383,44,293,1568,486,1169,284,18.6862244897959,24.4260204081633,16.7091836734694,10.3316326530612
"77",39049005700,14,1385,1272,304,128,101,3429,226,3185,205,2.94546515018956,8.86555847185769,40.3907844852727,37.095363079615
"78",39049005810,2,858,853,212,40,37,2675,271,2258,268,1.38317757009346,7.92523364485981,32.0747663551402,31.8878504672897
"79",39049005820,71,560,251,407,185,64,1946,316,1639,221,3.28879753340185,20.9146968139774,28.7769784172662,12.8982528263104
"80",39049005900,658,187,66,617,86,232,1469,887,524,149,15.7930565010211,42.001361470388,12.7297481279782,4.4928522804629
"81",39049006000,215,135,16,514,0,292,1418,539,1007,259,20.5923836389281,36.2482369534556,9.52045133991537,1.12834978843441
"82",39049006100,482,178,105,681,79,361,1625,1063,1059,476,22.2153846153846,41.9076923076923,10.9538461538462,6.46153846153846
"83",39049006236,0,1730,1716,96,499,0,4007,0,3405,0,0,2.39580733715997,43.174444721737,42.8250561517345
"84",39049006237,33,1999,1236,436,158,208,4856,220,3609,98,4.2833607907743,8.97858319604613,41.165568369028,25.4530477759473
"85",39049006238,0,563,330,116,127,0,1277,44,955,1,0,9.08379013312451,44.087705559906,25.8418167580266
"86",39049006239,0,2237,1072,438,28,262,4809,575,2214,262,5.44811811187357,9.10792264504055,46.5169473903098,22.2915367020171
"87",39049006240,49,1233,621,866,173,0,3486,708,2865,659,0,24.8422260470453,35.3700516351119,17.8141135972461
"88",39049006241,0,1759,1708,1104,96,452,5720,1135,4395,509,7.9020979020979,19.3006993006993,30.7517482517482,29.8601398601399
"89",39049006301,0,514,393,452,252,76,1883,287,1562,184,4.03611258629846,24.0042485395645,27.2968667020712,20.8709506107276
"90",39049006302,0,1168,892,205,380,59,3047,818,2285,714,1.93633081719724,6.72792911060059,38.3327863472268,29.2746964227109
"91",39049006310,0,1280,1240,106,34,46,2991,52,2572,40,1.53794717485791,3.54396522902039,42.7950518221331,41.4577064526914
"92",39049006321,0,996,1179,135,149,79,2879,40,2646,25,2.74400833622786,4.6891281695033,34.5953456061132,40.9517193469955
"93",39049006323,7,1164,1024,190,112,32,2715,88,2435,61,1.17863720073665,6.99815837937385,42.8729281767956,37.7163904235727
"94",39049006330,0,1652,934,140,52,0,3375,131,3231,131,0,4.14814814814815,48.9481481481481,27.6740740740741
"95",39049006340,103,1032,962,144,316,125,2663,190,1990,87,4.69395418700713,5.40743522343222,38.7532857679309,36.1246714232069
"96",39049006351,3,947,714,673,240,141,3103,284,2797,168,4.54398968739929,21.6886883660973,30.5188527231711,23.0099903319368
"97",39049006352,47,838,646,228,276,211,2449,618,1393,387,8.61576153532054,9.30992241731319,34.2180481829318,26.3781135157207
"98",39049006353,91,1189,403,846,142,143,3977,897,3291,558,3.59567513200905,21.2723158159417,29.8969072164948,10.1332662811164
"99",39049006372,278,1215,867,823,1262,219,4603,1059,3119,601,4.75776667390832,17.8796437106235,26.3958288072996,18.8355420378014
"100",39049006384,0,1374,953,440,239,58,3847,66,3110,66,1.50766831297115,11.4374837535742,35.7161424486613,24.7725500389914
"101",39049006386,26,1177,850,451,80,120,3549,459,2673,377,3.38123415046492,12.7078050154973,33.1642716258101,23.9504085657932
"102",39049006387,238,1601,1106,787,298,95,4322,486,3709,168,2.19805645534475,18.2091624248033,37.043035631652,25.5900046274873
"103",39049006391,0,1503,1244,293,77,63,3634,75,3087,14,1.73362685745735,8.06274078150798,41.3593835993396,34.232250963126
"104",39049006392,0,1220,1028,215,0,35,3012,117,2752,104,1.16201859229748,7.13811420982736,40.5046480743692,34.1301460823373
"105",39049006393,0,1705,920,534,196,54,4047,110,3220,90,1.33432171979244,13.1949592290586,42.1299728193724,22.7328885594267
"106",39049006394,0,622,203,369,108,33,2063,78,1817,78,1.59961221522055,17.8865729520116,30.1502666020359,9.84003877847794
"107",39049006395,47,1254,444,351,74,80,2856,331,2285,270,2.80112044817927,12.2899159663866,43.9075630252101,15.546218487395
"108",39049006396,18,1628,758,799,132,192,4256,418,2867,278,4.51127819548872,18.7734962406015,38.2518796992481,17.8101503759398
"109",39049006397,0,1121,584,690,328,265,4077,467,3304,324,6.49987736080451,16.9242089771891,27.495707628158,14.3242580328673
"110",39049006398,0,1034,866,121,36,103,2431,153,1878,153,4.23693953105718,4.97737556561086,42.5339366515837,35.6232003290827
"111",39049006410,0,697,815,140,38,19,2052,37,1902,37,0.925925925925926,6.82261208576998,33.9668615984405,39.7173489278752
"112",39049006430,0,1614,1123,225,283,98,3490,179,2868,97,2.8080229226361,6.44699140401146,46.2464183381089,32.1776504297994
"113",39049006500,0,916,1090,64,44,0,2276,75,2049,68,0,2.81195079086116,40.2460456942003,47.8910369068541
"114",39049006600,0,1314,1180,154,89,8,2809,51,2724,51,0.284798860804557,5.48237807048772,46.7782128871484,42.0078319686721
"115",39049006710,0,745,571,333,20,62,2257,154,1932,143,2.74700930438635,14.7540983606557,33.0084182543199,25.2990695613646
"116",39049006721,2,1038,1270,144,76,1,2770,8,2648,6,0.036101083032491,5.1985559566787,37.4729241877256,45.8483754512635
"117",39049006722,0,739,507,314,97,86,2132,63,1958,63,4.03377110694184,14.7279549718574,34.6622889305816,23.780487804878
"118",39049006810,0,695,535,115,25,8,1697,81,1621,81,0.47142015321155,6.77666470241603,40.9546258102534,31.5262227460224
"119",39049006821,249,597,460,632,25,147,2643,887,2189,604,5.56186152099886,23.9122209610291,22.5879682179342,17.4044646235339
"120",39049006822,0,593,447,215,112,54,1699,103,1585,103,3.17834020011772,12.6545026486168,34.9028840494408,26.3095938787522
"121",39049006910,0,467,436,78,59,24,1212,13,1142,13,1.98019801980198,6.43564356435644,38.5313531353135,35.973597359736
"122",39049006921,354,544,171,767,412,277,2561,810,1838,243,10.8160874658337,29.9492385786802,21.2417024599766,6.67707926591175
"123",39049006923,92,794,275,642,571,617,3174,288,1926,183,19.4391934467549,20.226843100189,25.0157529930687,8.66414618777568
"124",39049006924,59,581,287,537,161,515,2800,580,1219,70,18.3928571428571,19.1785714285714,20.75,10.25
"125",39049006931,941,852,169,1671,1847,393,4853,2003,1689,126,8.098083659592,34.432309911395,17.5561508345353,3.48238203173295
"126",39049006932,863,601,293,1525,358,480,4377,1330,2157,355,10.9664153529815,34.8412154443683,13.7308658898789,6.69408270504912
"127",39049006933,1749,431,123,949,404,1158,3753,2519,732,262,30.8553157474021,25.2864375166533,11.4841460165201,3.27737809752198
"128",39049006943,512,568,133,1169,537,276,3398,1112,2008,177,8.12242495585639,34.4025897586816,16.715715126545,3.91406709829311
"129",39049006944,320,849,539,874,151,404,3635,566,2545,240,11.1141678129298,24.0440165061898,23.3562585969739,14.828060522696
"130",39049006945,779,391,107,1648,849,406,3541,1339,962,140,11.4656876588534,46.5405252753459,11.0420785088958,3.02174526969783
"131",39049006950,1,809,548,262,36,4,2111,69,2003,68,0.189483657034581,12.411179535765,38.323069635244,25.9592610137376
